system:index,ID_HDC_G0,UC_NM_MN,XC_ISO_LST,city,country,mean,.geo
0000000000000000017b,5959.0,Herat,AFG,Herat,Afghanistan,0.23943287971446903,"{""type"":""Polygon"",""coordinates"":[[[62.14836416029909,34.34472315272952],[62.17083810489792,34.34472315749233],[62.166815942423305,34.33602789652867],[62.178052854710316,34.336027852183854],[62.174035273830214,34.32732823701119],[62.19650468128692,34.32732817335796],[62.19248705359826,34.31863294063454],[62.20372393021436,34.318632905293114],[62.199706323458756,34.30993321226711],[62.210938810957025,34.3099332889013],[62.20692560874696,34.301238028701185],[62.21815808984711,34.30123796519154],[62.20611845237938,34.27514781993214],[62.21734650063611,34.27514775950139],[62.23340369493237,34.30993323423375],[62.22217126854448,34.30993327008688],[62.23021103966721,34.32732822875062],[62.24144350789924,34.327328223801395],[62.24546560342288,34.33602791630822],[62.25670248785201,34.336027860447764],[62.26793942715322,34.33602788638225],[62.280019154779914,34.36212256294824],[62.223830010184656,34.362122547860984],[62.22785664276605,34.37082226085828],[62.21661963392551,34.37082228157764],[62.220646198455064,34.379521964907276],[62.18693094875948,34.37952193501722],[62.19095757842699,34.38822168035381],[62.16847472044138,34.388221646042815],[62.14836416029909,34.34472315272952]]]}"
000000000000000001c8,6118.0,Kabul,AFG,Kabul,Afghanistan,0.18380483832674815,"{""type"":""Polygon"",""coordinates"":[[[68.9818920073675,34.54487434503948],[68.99314678730747,34.54487438730479],[68.9886474851363,34.53617017184103],[68.99989785700272,34.53617016072645],[68.99540302871776,34.527461600296036],[69.00665335808883,34.52746159216203],[68.99766381524032,34.51005320291989],[68.98641352038204,34.510053214112496],[68.98192320656416,34.501349083947154],[69.0269244346976,34.50134903138975],[69.02242967581621,34.49264494144298],[69.04492581735849,34.49264487082448],[69.04043547226894,34.48394070800147],[69.0629316437457,34.48394069481068],[69.05844134780375,34.4752365678186],[69.06968725629896,34.475236597922446],[69.06520134499195,34.466532390441515],[69.08769307864885,34.46653239966444],[69.0832027614843,34.457832690889724],[69.0944485854429,34.45783267147681],[69.0899627444766,34.4491285313804],[69.11245002806551,34.44912857352214],[69.10796414884156,34.44042437442616],[69.11920997299276,34.44042440544066],[69.10575690330276,34.41432080246844],[69.15072247404774,34.4143207969903],[69.15520831379582,34.42302498017973],[69.1439669486529,34.42302493883139],[69.17091327963907,34.47523659363985],[69.18216361596369,34.47523659469013],[69.18666281536939,34.4839407417025],[69.20915895296254,34.483940710901415],[69.20465528090493,34.47523658807579],[69.21590561074444,34.47523655923654],[69.21140632692662,34.46653243212876],[69.22265223410824,34.46653245137819],[69.22715147951159,34.475236567621415],[69.23839734230765,34.47523659407108],[69.26544172086601,34.527461546334784],[69.27669652008578,34.527461599960816],[69.28120912395657,34.53617014985073],[69.31496677183522,34.53617017406656],[69.34872436532814,34.53617019316435],[69.35997919218143,34.5361702104814],[69.3690222019881,34.553582944406415],[69.38027700726617,34.553582959303185],[69.38933340090509,34.570995736833126],[69.36682386023871,34.57099577828709],[69.36229339848222,34.56228714468877],[69.35103868554818,34.56228711259194],[69.34651716329802,34.553582967769245],[69.30149803791274,34.553583016472835],[69.30602400855034,34.562287172677514],[69.28351448238313,34.56228712247732],[69.28803606427421,34.570995790601316],[69.27678127763546,34.570995793873855],[69.28582874867466,34.58840853111677],[69.27456957657853,34.588408599905435],[69.27004803611148,34.57969997741031],[69.21376519696564,34.57969996732562],[69.21828675447705,34.58840855141685],[69.20703198840722,34.588408593966605],[69.21155347790402,34.59711718621242],[69.20029428952915,34.59711719117954],[69.19577276210066,34.58840858467203],[69.1620039857651,34.588408592860546],[69.16652107639432,34.59711715901671],[69.13274787019908,34.59711722481629],[69.13726932754533,34.6058257934607],[69.12601008803705,34.605825789224],[69.09893004763768,34.553582994130934],[69.08767525165403,34.55358295124718],[69.08317156415383,34.54487440147153],[69.06066203027129,34.544874349393005],[69.0651701473087,34.553582970853405],[69.05391538474059,34.553582964204],[69.0494116934594,34.544874322458774],[69.02690660703877,34.54487439775048],[69.03140581104076,34.553582969478136],[69.02015109343944,34.55358299742813],[69.02465477212763,34.56228714189761],[69.01340001034633,34.56228717330951],[69.01790816355908,34.57099577479139],[69.00664890112203,34.570995737178265],[69.00214517594006,34.562287118593915],[68.99089045211217,34.562287171748025],[68.9818920073675,34.54487434503948]]]}"
000000000000000001cf,6056.0,Kandahar,AFG,Kandahar,Afghanistan,0.18245391792866625,"{""type"":""Polygon"",""coordinates"":[[[65.61305009101523,31.612368825214784],[65.66816010334128,31.612368852825323],[65.66438771834606,31.60377167283801],[65.68642902400077,31.60377169914276],[65.68265665517447,31.595174540512428],[65.6936795034203,31.59517454468943],[65.68990716002419,31.58657739125128],[65.72296689242441,31.586577409073595],[65.71919446859904,31.577980277710015],[65.7302129204498,31.577980258925944],[65.73398535134253,31.5865773726752],[65.74500373222888,31.586577364595858],[65.74878064711118,31.595174523579562],[65.78184485090974,31.595174561512554],[65.79286327582088,31.595174557261366],[65.80042151203031,31.612368882993408],[65.81144439690357,31.61236887652279],[65.81523014474921,31.620966006508333],[65.78216149396154,31.62096597980368],[65.78594281577406,31.62956316497255],[65.77491984988293,31.629563166614904],[65.77870564369303,31.63816026735703],[65.71256376486457,31.638160308466592],[65.71634510785692,31.646757435861335],[65.7053177665363,31.64675746147566],[65.7015364315733,31.638160315317034],[65.69051355837841,31.638160279594164],[65.67949061207392,31.63816026884518],[65.67571377185308,31.62956315008176],[65.66469094421956,31.62956318326764],[65.66091405687806,31.620966014843734],[65.64989116869653,31.620965974016492],[65.61682245923204,31.620965991819183],[65.61305009101523,31.612368825214784]]]}"
00000000000000000396,3274.0,Tirana,ALB,Tirana,Albania,0.3945253431909633,"{""type"":""Polygon"",""coordinates"":[[[19.678320624226995,41.361444200164186],[19.72602410472481,41.361444144443304],[19.724316286316114,41.352427849884904],[19.736239875191696,41.35242784411022],[19.734527576288034,41.34341153659562],[19.746451191634645,41.3434115593777],[19.74474340442148,41.3343997513017],[19.75666259443367,41.334399711407144],[19.751530166632733,41.307359734956044],[19.811130449675776,41.30735971561912],[19.809418208464166,41.29834786373963],[19.821337410912754,41.29834785245096],[19.81962059903985,41.2893360148235],[19.843458995228282,41.28933604750752],[19.841742212616314,41.28032419244976],[19.86557609856785,41.28032418555558],[19.867292855822402,41.289336013152926],[19.855373677039797,41.28933603638348],[19.86053287303796,41.31637158226302],[19.872452058866806,41.31637154376868],[19.87417328646247,41.3253879096885],[19.886096908867508,41.32538788463875],[19.889543803662026,41.34341153963646],[19.877620116502808,41.343411539670484],[19.879341358162186,41.352427899665464],[19.867417681346023,41.3524278579426],[19.87086456534916,41.37045598971064],[19.847012853877075,41.370456033366935],[19.84528724947211,41.36144414684864],[19.8095118642732,41.361444196115784],[19.811228556909835,41.3704559988381],[19.799300468342036,41.37045599177173],[19.802738433562563,41.38848865709737],[19.77888228147158,41.38848864116529],[19.78059906876695,41.39750491089605],[19.756738348148225,41.397504921809535],[19.758455162448712,41.40652564750967],[19.746527034868592,41.4065256806459],[19.744810255269023,41.397504896869194],[19.732877772136113,41.39750489786976],[19.729448657672286,41.37947234655034],[19.717520575731864,41.37947232624077],[19.715812782339714,41.37045600569998],[19.703884617915755,41.37045600633034],[19.680028487617466,41.37045599404369],[19.678320624226995,41.361444200164186]]]}"
00000000000000000024,2095.0,Algiers,DZA,Algiers,Algeria,0.314401530977262,"{""type"":""Polygon"",""coordinates"":[[[2.80391393115284,36.706093610253376],[2.8153604842128304,36.706093643889346],[2.814959114631153,36.68850244257278],[2.8378432266206755,36.688502439766296],[2.8380483819887394,36.69729583627637],[2.84949041415561,36.69729579546197],[2.8498961853433937,36.714886983283826],[2.861342752541242,36.714886978453904],[2.8615478574339903,36.72368030407441],[2.89588737003521,36.723680280846004],[2.8956777756724223,36.71488696784463],[2.9071243350792897,36.71488700007813],[2.906709618974903,36.697295816507925],[2.9181516689829152,36.69729583704446],[2.917946548350086,36.688502488827794],[2.929388629887427,36.688502473956895],[2.9287598644106345,36.6621224290783],[2.9402019491586033,36.66212245618424],[2.9393636356845,36.62694899438934],[2.9508011720137306,36.626949009490964],[2.9510107801484318,36.635742369103134],[2.96244836030183,36.63574235766353],[2.962657943260628,36.64453575403971],[2.985537598039117,36.644535702671085],[2.9853235655354062,36.6357424125329],[3.019636363748542,36.63574236244534],[3.019854825531131,36.644535709554475],[3.0312924316482057,36.64453569060894],[3.031506440183643,36.65332910134534],[3.065828174796015,36.65332905413327],[3.0656096569981535,36.64453575757588],[3.0770472876674604,36.644535703364],[3.0768287954622475,36.63574235659318],[3.0882663344161916,36.63574235837482],[3.0876064262395215,36.609366833075796],[3.0761733247853185,36.60936679731274],[3.075954760091493,36.600577952270136],[3.0988210440270607,36.60057791310633],[3.0990439954045956,36.60936680783948],[3.1219147847168407,36.60936678564678],[3.1333479202374175,36.609366791648505],[3.133570801174817,36.61816016314986],[3.1221376895541364,36.61816015840158],[3.1223562337074475,36.626949071970124],[3.110923092974615,36.62694904131883],[3.1113645181833642,36.64453574573748],[3.1228021249967446,36.644535739018025],[3.123025033920633,36.653329081060996],[3.1573468003355383,36.653329052522935],[3.157119368661334,36.64453575433693],[3.1685569798846824,36.64453571136458],[3.168334014727781,36.63574241224195],[3.179771585943303,36.6357423435956],[3.1802219891690418,36.65332909595154],[3.19166404378019,36.653329035992606],[3.1918914072944835,36.66212243953635],[3.2033334472172084,36.66212242760106],[3.2040157044705975,36.68850247339227],[3.215462203487871,36.688502462534515],[3.2156896781263455,36.69729580815237],[3.2271317104124613,36.69729579874018],[3.227363533945116,36.70609365230314],[3.250252151765727,36.7060936495527],[3.2500202962763862,36.69729580722172],[3.272908859340763,36.69729585030009],[3.272676973205225,36.68850248528331],[3.2841189964201516,36.6885024847299],[3.2845871776177944,36.70609362895955],[3.2960292944523513,36.706093580943225],[3.2962655916207066,36.714886947524775],[3.319158635027935,36.714886987880554],[3.3189223044782787,36.7060936362294],[3.3303643582711375,36.7060936555061],[3.3294145239667965,36.67091574263559],[3.3522986420431558,36.67091574455348],[3.3520578468606477,36.662122433148845],[3.3749374891950996,36.66212245069645],[3.3751783192203137,36.67091574417349],[3.3866203684075744,36.67091579835655],[3.387101912809633,36.68850245812658],[3.398548494603452,36.688502497474076],[3.398789285863214,36.69729577756075],[3.4102313387453447,36.69729582118958],[3.421677808703936,36.69729578758187],[3.4219231010166893,36.70609363071052],[3.4333651118549318,36.70609359903503],[3.434100857984351,36.732478130632956],[3.4455473747844487,36.73247815063543],[3.445797098797166,36.7412759417116],[3.4801411022021185,36.741275956929805],[3.491587592129195,36.741275907945],[3.4920870416190137,36.758867110038366],[3.5035379746915303,36.75886711736061],[3.503787681601705,36.76766491406283],[3.5152386808093783,36.767664870339644],[3.526689608687032,36.76766487392916],[3.526939354354343,36.77646266380146],[3.5383903423511582,36.77646269778673],[3.5386444681382194,36.785260527691854],[3.5615508808871,36.78526048811858],[3.5730018417170033,36.785260478615555],[3.573514693623585,36.80286056540744],[3.5849656081815295,36.80286057254285],[3.585224296118871,36.81165834204846],[3.550862396649639,36.81165835875525],[3.55060828594846,36.802860573279304],[3.539152800761367,36.80286058727673],[3.538898672389563,36.79406280498998],[3.527447722193101,36.79406279678282],[3.527193499049756,36.785260506567845],[3.515742532713647,36.78526053004366],[3.5042915720542314,36.78526051600664],[3.5040373897628743,36.776462730294995],[3.4925864190175937,36.77646266652865],[3.469684515256251,36.7764626731908],[3.4694348252362652,36.76766490238046],[3.4579882702323594,36.76766491660455],[3.4465372659695985,36.7676648593295],[3.4462876152606383,36.758867084130735],[3.4004926347057842,36.758867092489524],[3.40073343543364,36.76766491646853],[3.38928242369451,36.767664923356605],[3.38952770930096,36.77646273122383],[3.3437238453726676,36.77646267400093],[3.343964599809767,36.785260500474514],[3.332509160828036,36.78526046673019],[3.3327499372573945,36.79406275163874],[3.2983926245516404,36.794062775472185],[3.2986289331041965,36.80286054560159],[3.2757225139670227,36.802860542358296],[3.275954414524751,36.811658381974084],[3.2645034008449176,36.8116583525797],[3.2647353250075706,36.82046064489431],[3.2303689807252995,36.8204606303394],[3.2301371429142636,36.81165840096799],[3.218681677924646,36.81165834304526],[3.2184542659985635,36.80286060089049],[3.2299052295138053,36.802860539085735],[3.229209649304247,36.77646270322166],[3.21775869571305,36.77646266758423],[3.2175312880918017,36.76766491606363],[3.2060803171332037,36.76766492288188],[3.205848441476983,36.75886706094038],[3.1944019021589143,36.75886707339449],[3.1829509289636384,36.75886708755142],[3.1827235306182025,36.75007371827125],[3.1712769920930834,36.750073740142035],[3.148379525314471,36.750073715360635],[3.148152135674893,36.7412759227014],[3.125254638774022,36.74127591989895],[3.1254819975097843,36.75007371890093],[3.0911335604855976,36.75007372797418],[3.0913565528522904,36.758867069064216],[3.0799055901897425,36.758867097758824],[3.080788489525868,36.794062754388804],[3.0693375122128836,36.794062752379475],[3.0695559704751902,36.802860582382685],[3.0581049861496417,36.80286054542249],[3.0583234699106607,36.81165839279495],[3.0354126834380324,36.81165835406015],[3.0356311405767293,36.820460650973324],[2.989809444275176,36.82046062603561],[2.943987693022759,36.8204606694608],[2.9437781157115115,36.81165840713301],[2.9323226735130428,36.811658411205826],[2.886505423740491,36.81165836506707],[2.8863002871700725,36.80286054305718],[2.8977512925043034,36.80286054112131],[2.897336581907477,36.78526053448056],[2.8858856002812416,36.78526046181162],[2.8856804663858218,36.77646269520268],[2.8742295517023604,36.77646267287232],[2.874019976701671,36.767664873650624],[2.862573395198399,36.7676648816304],[2.8282204837218097,36.76766485361139],[2.8280198580109754,36.75886704647121],[2.8394663896836168,36.75886705262209],[2.8388599600820914,36.73247812889488],[2.827408935905035,36.73247808221384],[2.827208313634941,36.723680285327625],[2.8157617811698565,36.72368035239179],[2.8155611322655454,36.71488694367802],[2.8041146066219733,36.71488698509954],[2.80391393115284,36.706093610253376]]]}"
0000000000000000008d,2089.0,Blida,DZA,Blida,Algeria,0.3014743281853691,"{""type"":""Polygon"",""coordinates"":[[[2.7294246917451397,36.44240909618045],[2.740844431938622,36.442409173559426],[2.7410406638325067,36.45119360210341],[2.763880133049695,36.45119355132559],[2.775299884116223,36.45119357865079],[2.775496107773654,36.45997800201349],[2.7983400546931065,36.45997799202984],[2.7981438879961225,36.45119355163392],[2.809563651499261,36.451193601636994],[2.809764274944944,36.459978027484475],[2.832608300100172,36.459977975229975],[2.844028020638186,36.45997797275954],[2.8442287141879796,36.468762385228665],[2.8556529103659223,36.46876242700535],[2.8558535770449325,36.47754681388007],[2.8672777581624813,36.47754684064672],[2.867478474016922,36.48633128156132],[2.878907128786765,36.486331267331],[2.8791077415360027,36.49511568245161],[2.890531960201106,36.49511567561264],[2.90196067632071,36.495115702560696],[2.9021658042761613,36.50390459984719],[2.9135900007750886,36.50390463582744],[2.9137951026510955,36.51268905137694],[2.9252237655870394,36.51268904250043],[2.9262627946381143,36.55662903164364],[2.9148296158417675,36.55662904861654],[2.9146245095113423,36.54784012852447],[2.903191381143173,36.54784012313727],[2.9029862487672826,36.5390512501329],[2.8915575908990876,36.53905119850069],[2.86870021783732,36.53905127162116],[2.868495082029241,36.53026682315634],[2.83421356126835,36.530266785910804],[2.8344142132338246,36.539051241435494],[2.8229855567479056,36.539051210802654],[2.8231861611120865,36.5478401535268],[2.8117530702904703,36.54784011424626],[2.8113562168287816,36.53026679712669],[2.7999275072389764,36.530266809480324],[2.799530677102095,36.512689068083596],[2.8109548812477207,36.5126890648384],[2.8105580344885244,36.49511569526146],[2.7991337742946474,36.495115714213355],[2.798933119989538,36.4863312618983],[2.7875089363013075,36.48633126457673],[2.787312738633316,36.477546846900594],[2.775888481571226,36.47754683773963],[2.7756923322480387,36.46876239388367],[2.764272562011878,36.468762433068946],[2.73000436721508,36.46876238544471],[2.7294246917451397,36.44240909618045]]]}"
000000000000000000e8,2377.0,Constantine,DZA,Constantine,Algeria,0.3647925566882931,"{""type"":""Polygon"",""coordinates"":[[[6.5605951116812085,36.32825169624372],[6.572001487355155,36.32825165921489],[6.571542185958423,36.31947174538522],[6.605765816268658,36.31947169179529],[6.605302034121352,36.31069178465685],[6.616712899472562,36.31069178630582],[6.615780941342576,36.29313627009736],[6.6043745614169245,36.293136241105856],[6.603910789366893,36.284360776417664],[6.615317168043497,36.284360736084885],[6.614389713039425,36.266805299047405],[6.625796085993775,36.26680524886172],[6.627655497768782,36.30191620532963],[6.6390619517420335,36.301916224918074],[6.63953013701604,36.310691760023545],[6.650936502984463,36.310691733110566],[6.662342858319429,36.31069175157531],[6.662811050403864,36.319471756424335],[6.6742219629040545,36.319471715001605],[6.675158360478632,36.337027238081525],[6.663747526381818,36.337027222426116],[6.665156548371055,36.363367097263904],[6.653745696855617,36.363367087803404],[6.655618561101492,36.39849594343902],[6.644203289647598,36.39849586933943],[6.644671430931447,36.40727589078008],[6.6332561515250745,36.40727587227529],[6.634192603709508,36.42484025815057],[6.645607886843576,36.42484024745665],[6.646080523390637,36.43362466838573],[6.65750028849833,36.43362467911385],[6.658441172885442,36.45119352655695],[6.647016918335192,36.451193549558724],[6.647489646815032,36.459978001977156],[6.6246456076096605,36.45997802495343],[6.6237092135215665,36.44240917116204],[6.612289438652887,36.44240912774603],[6.61182128956697,36.43362470215899],[6.600401518835015,36.43362468352272],[6.577561992868704,36.43362468118856],[6.57663451587965,36.41606031847943],[6.565214768597049,36.41606030908475],[6.564755434685649,36.40727588066764],[6.5761707824450575,36.40727589791004],[6.572465271908183,36.33702717930086],[6.56105441558304,36.33702722750554],[6.5605951116812085,36.32825169624372]]]}"
000000000000000002b5,1890.0,Oran,DZA,Oran,Algeria,0.24803735306540586,"{""type"":""Polygon"",""coordinates"":[[[-0.7150837146927296,35.67086425717286],[-0.7149365562319039,35.644609071310924],[-0.6922397954250157,35.64460904055097],[-0.6921951876777127,35.6358603173882],[-0.680846729771268,35.63586031387909],[-0.6807977185827353,35.62711156261129],[-0.6581053717632217,35.62711155416123],[-0.6581499416950963,35.635860282036006],[-0.6354575903804586,35.63586030604979],[-0.6354129733442768,35.62711154429686],[-0.6127206249168856,35.62711153255039],[-0.6126760332088373,35.618362786575126],[-0.5899881231353944,35.61836280276311],[-0.5899479628514572,35.60961405274952],[-0.5785996062692341,35.60961401474084],[-0.5786798318377382,35.627111595924404],[-0.5673314303631705,35.62711152560331],[-0.5673715678918283,35.63586032193023],[-0.5560231366082113,35.63586028679417],[-0.544674762788597,35.63586035467776],[-0.5447148774955609,35.64460906239451],[-0.5560632627494697,35.64460906314568],[-0.5560989865962847,35.65336232748426],[-0.5674473672917681,35.65336224995382],[-0.5675677803491082,35.67961303959863],[-0.556214890853211,35.679613015971896],[-0.5562505426663114,35.688366211152164],[-0.5449021761948142,35.68836619935016],[-0.544937817880699,35.697119451996365],[-0.5222320936114814,35.697119467374826],[-0.5108792279128561,35.697119459584734],[-0.5109149111938546,35.70587262933859],[-0.5222677870936677,35.70587262343716],[-0.5224818044431625,35.758396407215955],[-0.5338391402008226,35.75839639889236],[-0.5338792439840275,35.7671496306767],[-0.545236588814432,35.76714962279866],[-0.5452008747113385,35.75839638573076],[-0.5565582032617241,35.75839640704136],[-0.5679155942080912,35.75839644305514],[-0.5678754561317653,35.7496432096559],[-0.5792327499757456,35.74964319302826],[-0.5791926005099116,35.74088551435635],[-0.5905499379601381,35.74088552817036],[-0.5905098493429709,35.73213231805838],[-0.6018671545366502,35.73213227980213],[-0.6018270545633749,35.72337912483737],[-0.6131799151749264,35.723379057335855],[-0.6245372272064874,35.72337906686328],[-0.6244926223315495,35.71462584066266],[-0.6358454786681561,35.71462590624792],[-0.6585557040000659,35.714625896908316],[-0.6585111336177047,35.70587267899775],[-0.6698639979826237,35.70587264559107],[-0.6698194150491436,35.69711948677317],[-0.6811722900981558,35.69711948807176],[-0.6810786106946471,35.6796130254514],[-0.6924314789538007,35.679612996937635],[-0.6923824536500695,35.670864280537224],[-0.7037353241145095,35.67086428830167],[-0.7150837146927296,35.67086425717286]]]}"
000000000000000000ad,3002.0,Cabinda,AGO,Cabinda,Angola,0.3714254660216355,"{""type"":""Polygon"",""coordinates"":[[[12.158519372760077,-5.575784845401116],[12.158831518947355,-5.600091383197222],[12.168837766629139,-5.600091389249907],[12.169047337703063,-5.616295764469337],[12.179053556708064,-5.61629575004394],[12.179156083265902,-5.624397919460662],[12.189166800408296,-5.624397903304267],[12.189376322979337,-5.6406023262867],[12.209388830929859,-5.640602329796104],[12.20896962278695,-5.608193591405445],[12.218975891597166,-5.608193579490728],[12.21856118601048,-5.575784802302495],[12.228567363718703,-5.575784835517747],[12.228464791196808,-5.5676825893747],[12.248477312144285,-5.567682647395446],[12.258483487770983,-5.567682638112105],[12.258380974858945,-5.55958046472185],[12.248374721171007,-5.5595804373184405],[12.247959992672566,-5.5271716973602985],[12.22794311318804,-5.527171662643732],[12.228152709428201,-5.543376096457841],[12.218146481981131,-5.543376070622457],[12.218249044924892,-5.5514782374168306],[12.19823658678253,-5.551478261385963],[12.198134042446206,-5.543376097895631],[12.178117122819966,-5.54337603623857],[12.178326711597641,-5.559580457218353],[12.168320471548345,-5.559580453940783],[12.168525591974369,-5.575784803019226],[12.158519372760077,-5.575784845401116]]]}"
0000000000000000018d,3227.0,Huambo,AGO,Huambo,Angola,0.35915449273561,"{""type"":""Polygon"",""coordinates"":[[[15.68626579013706,-12.770580074951818],[15.686577929775767,-12.778744629126718],[15.696713495643976,-12.778744644817055],[15.697025653289925,-12.786909261089214],[15.707161176674012,-12.786909268242995],[15.70747326276929,-12.795078377238978],[15.717608832074394,-12.7950783698038],[15.71792093610719,-12.803242943512094],[15.728056550228269,-12.803242921210254],[15.728373148962346,-12.811407537474233],[15.738504150916805,-12.81140752800511],[15.73913738519249,-12.827741274330497],[15.74927292433276,-12.82774123436133],[15.748639744490866,-12.811407562120891],[15.758775272758761,-12.811407582834407],[15.758458621360013,-12.80324295797524],[15.768594244879294,-12.803242951985661],[15.767648898339234,-12.77874461706696],[15.777779924338848,-12.77874460939954],[15.777467807715931,-12.770580015920878],[15.797734454611607,-12.770580005482117],[15.80786552282631,-12.77058002817717],[15.807548876548891,-12.762415421373262],[15.797417825699322,-12.762415400052358],[15.79616036195334,-12.729752521523638],[15.786024831144115,-12.729752511720692],[15.786341440491514,-12.737917129044213],[15.776210301030531,-12.737917089568281],[15.735677098265839,-12.737917134518487],[15.735993710226781,-12.746081712017345],[15.705591533197838,-12.746081755849538],[15.705279450336711,-12.737917086794493],[15.695148329019927,-12.737917096937743],[15.696401338535575,-12.770580001526774],[15.68626579013706,-12.770580074951818]]]}"
