"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"sum_arid_2020",0.0753576310604399,0.178094188296885,0.244703247477718,0.24591475907579,0.308752322143216,0.480529867410484
"sum_cont_2020",0.210744152534393,0.332823732934779,0.392138447030151,0.385341999237826,0.444777195640024,0.549097295046445
"sum_polar_2020",0.126483885656323,0.126483885656323,0.126483885656323,0.126483885656323,0.126483885656323,0.126483885656323
"sum_temper_2020",0.160633440446021,0.294144618955466,0.345342110761957,0.350952917655659,0.405261256174764,0.601537134285225
"sum_trop_2020",0.146935837190725,0.31982056533836,0.372446796147164,0.384989524335102,0.446644617285918,0.607061570512289
