"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"sum_arid_2021",0.0698012951822878,0.170334111692495,0.243074936449956,0.239996359546512,0.299702609505469,0.498190399574997
"sum_cont_2021",0.115743622873831,0.326290327916666,0.385431968472967,0.377632522273295,0.435935536799825,0.547498980184174
"sum_polar_2021",0.130060992674324,0.130060992674324,0.130060992674324,0.130060992674324,0.130060992674324,0.130060992674324
"sum_temper_2021",0.132180511641968,0.295246981246629,0.349765276096397,0.351314193524539,0.400620122912396,0.585247856439651
"sum_trop_2021",0,0.311555173629607,0.371526676161935,0.379961611563001,0.446684765563718,0.639316632064741
