"","High","Low","Medium","N/A","Very High"
"Exceptionally Low",37,19,20,3,21
"High",11,5,35,0,11
"Low",141,33,110,4,103
"Moderate",49,11,83,0,73
"Very High",1,0,0,0,0
"Very Low",134,37,47,0,46
