"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"sum_arid_2015",0.072850763825363,0.173741530423537,0.240163027664725,0.242133325105202,0.302926001431723,0.496547181799991
"sum_cont_2015",0.16936465375383,0.308949843267799,0.396080754147449,0.373001805379764,0.429421266590638,0.546345707629578
"sum_polar_2015",0.140227264706926,0.140227264706926,0.140227264706926,0.140227264706926,0.140227264706926,0.140227264706926
"sum_temper_2015",0.172166255251651,0.295852839207307,0.349279089735758,0.353270882106936,0.408523247398868,0.594391255516488
"sum_trop_2015",0.194855073863876,0.317023033801648,0.37724714426654,0.386928138629053,0.443260827135296,0.638367460623612
