"","High","Low","Medium","N/A","Very High"
"Exceptionally Low",35,22,20,3,20
"High",11,2,28,0,12
"Low",144,31,126,3,95
"Moderate",55,12,78,0,79
"Very High",1,0,2,0,0
"Very Low",127,38,41,1,48
