"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"sum_arid_2022",0.0700726723019141,0.172136602682762,0.234006653613209,0.238963604777649,0.304086348474274,0.512802231230289
"sum_cont_2022",0.205497523912215,0.325283838323455,0.400645971025379,0.384008275195826,0.444784006016782,0.532556501696979
"sum_polar_2022",0.138273806660717,0.138273806660717,0.138273806660717,0.138273806660717,0.138273806660717,0.138273806660717
"sum_temper_2022",0.137679674461785,0.2973270020531,0.342474678380413,0.347781156658845,0.396312215429973,0.593494245976999
"sum_trop_2022",0.166997960574857,0.314308108396737,0.370414580552157,0.378913643747327,0.434842440166408,0.628289533863226
