"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"sum_arid_2023",0.0705057415115994,0.1722434771699,0.23662656877654,0.239301507072613,0.300295434140614,0.505849563557654
"sum_cont_2023",0.194099435828575,0.333511885628566,0.38686957761422,0.38532808054375,0.444309846970239,0.558565632815387
"sum_polar_2023",0.111946990581201,0.111946990581201,0.111946990581201,0.111946990581201,0.111946990581201,0.111946990581201
"sum_temper_2023",0.163403732460233,0.29484767882695,0.347157026482818,0.354814094639061,0.411958596441099,0.620588183943713
"sum_trop_2023",0.185840015231341,0.308486768917154,0.374411680507303,0.380085556412499,0.439768738992849,0.630105606440869
