"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"sum_arid_2016",0.0324058587393901,0.156547024520222,0.210356011737009,0.215432176588661,0.271466914274578,0.509243817107004
"sum_cont_2016",0.139761472252956,0.307984577586102,0.390473268562538,0.374932795198261,0.436714529578593,0.546820590130413
"sum_polar_2016",0.131003174011605,0.131003174011605,0.131003174011605,0.131003174011605,0.131003174011605,0.131003174011605
"sum_temper_2016",0.129908618387522,0.265969002681045,0.329177894612178,0.32846861183437,0.382721913210711,0.587446819834825
"sum_trop_2016",0.119559180123834,0.280019867134233,0.344279844543377,0.351636203195867,0.410404425439617,0.597483038368814
