"","High","Low","Medium","N/A","Very High"
"Exceptionally Low",31,18,16,2,17
"High",11,6,31,0,12
"Low",149,32,125,2,91
"Moderate",50,13,74,0,84
"Very High",1,0,3,0,0
"Very Low",131,36,46,3,50
