,Latitude,Longitude,City,Country,Major_Geo_Region,ISO3,LCD_grouping,WHO_region,HDI_level,Koppen_climate_region,Peak_NDVI_2015,PopWeight_Peak_NDVI_2015,Greenness_Level_2015,Peak_NDVI_2020,PopWeight_Peak_NDVI_2020,Greenness_Level_2020,Peak_NDVI_2021,PopWeight_Peak_NDVI_2021,Greenness_Level_2021,Peak_NDVI_2022,PopWeight_Peak_NDVI_2022,Greenness_Level_2022,Peak_NDVI_2023,PopWeight_Peak_NDVI_2023,Greenness_Level_2023
983,37.50146375,122.074675,Weihai,China,Asia,CHN,Asia,Western Pacific,High,Continental,0.222158245,0.205206996,Very Low,0.224488692,0.21416585,Very Low,0.262740089,0.249187897,Very Low,0.277935546,0.271475105,Very Low,0.290311172,0.283604544,Very Low
984,27.80514182,120.6876659,Wenzhou,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.341550511,0.232427741,Very Low,0.331641595,0.224288087,Very Low,0.308752641,0.217310044,Very Low,0.329149899,0.230299606,Very Low,0.308712449,0.210830481,Very Low
985,-22.54190429,17.05309296,Windhoek,Namibia,Africa,NAM,Africa,Africa,Medium,Arid,0.258607159,0.231455668,Very Low,0.239775465,0.206114711,Very Low,0.242085366,0.205795585,Very Low,0.24115127,0.204058083,Very Low,0.250518801,0.211072754,Very Low
986,49.87947386,-97.1510269,Winnipeg,Canada,Northern America,CAN,Northern America,Americas,Very High,Continental,0.403012225,0.400452856,Moderate,0.382869667,0.383169047,Low,0.333039767,0.335871887,Low,0.386344346,0.386308965,Low,0.363727467,0.356737169,Low
987,51.10776275,17.02906238,Wroclaw,Poland,Europe,POL,Europe,Europe,Very High,Continental,0.398408377,0.400891537,Moderate,0.468790086,0.471408844,Moderate,0.474786658,0.476979623,Moderate,0.454747722,0.45761888,Moderate,0.47770606,0.480920209,Moderate
988,30.55372322,114.2947295,Wuhan,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.269024711,0.234234059,Very Low,0.309215156,0.28913952,Very Low,0.279053724,0.261782694,Very Low,0.286317052,0.268691337,Very Low,0.282323347,0.255068357,Very Low
989,31.36102511,118.3857218,Wuhu,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.28128778,0.235619709,Very Low,0.282792288,0.254790423,Very Low,0.3230144,0.296189044,Very Low,0.341176995,0.312897758,Low,0.3230144,0.281701068,Very Low
990,51.22095504,7.096836493,Wuppertal,Germany,Europe,DEU,Europe,Europe,Very High,Temperate,0.556294978,0.55599355,High,0.488792713,0.488697333,Moderate,0.531245334,0.529978218,High,0.519671336,0.520156186,High,0.552445315,0.552393022,High
991,19.53935074,-96.90910069,Xalapa,Mexico,Latin America and the Caribbean,MEX,South and Central America,Americas,High,Temperate,0.404824593,0.33307372,Low,0.399354677,0.328842408,Low,0.409951015,0.338179058,Low,0.384966834,0.317657993,Low,0.409951015,0.332304573,Low
992,24.56953434,118.0671108,Xiamen,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.273014803,0.256164867,Very Low,0.273966235,0.270670243,Very Low,0.30435338,0.302303094,Low,0.307853441,0.301789145,Low,0.310937733,0.3063031,Low
993,34.25887419,108.917579,Xi'an,China,Asia,CHN,Asia,Western Pacific,High,Arid,0.303291046,0.274872346,Very Low,0.34235315,0.30977014,Low,0.309103107,0.273915793,Very Low,0.33960897,0.31292869,Low,0.346746634,0.318302842,Low
994,27.85818747,112.9235529,Xiangtan,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.292248005,0.30695276,Low,0.368603763,0.381989144,Low,0.358931743,0.373777938,Low,0.341567887,0.35525526,Low,0.317762877,0.332099545,Low
995,34.37791731,108.7840871,Xianyang,China,Asia,CHN,Asia,Western Pacific,High,Arid,0.34557122,0.329215648,Low,0.379819109,0.360453837,Low,0.364126088,0.343849422,Low,0.37344386,0.356361107,Low,0.376389789,0.362879983,Low
996,30.93583691,113.923858,Xiaogan,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.383825237,0.338655839,Low,0.397565027,0.357929856,Low,0.317496688,0.29479422,Very Low,0.36424135,0.323391436,Low,0.372579801,0.331999861,Low
997,37.06683351,114.4875349,Xingtai,China,Asia,CHN,Asia,Western Pacific,High,Continental,0.303162325,0.257276187,Very Low,0.323134209,0.276366727,Very Low,0.269292846,0.238796349,Very Low,0.306513814,0.274260948,Very Low,0.34153829,0.30490978,Low
998,36.62465457,101.7744224,Xining,China,Asia,CHN,Asia,Western Pacific,High,Arid,0.271620738,0.2372236,Very Low,0.307019277,0.269557423,Very Low,0.290914374,0.264921788,Very Low,0.28283342,0.257601254,Very Low,0.298426772,0.271330936,Very Low
999,35.30389938,113.8866514,Xinxiang,China,Asia,CHN,Asia,Western Pacific,High,Continental,0.260171251,0.254716839,Very Low,0.330761982,0.322226282,Low,0.314000083,0.306776089,Low,0.278149396,0.273523457,Very Low,0.300378155,0.296801179,Very Low
1000,34.03598358,113.8210182,Xuchang,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.343722747,0.289008983,Very Low,0.420785652,0.34363661,Low,0.346730008,0.28971907,Very Low,0.332705931,0.283478384,Very Low,0.371654755,0.319607788,Low
1001,34.26297163,117.2028934,Xuzhou,China,Asia,CHN,Asia,Western Pacific,High,Continental,0.339739787,0.289544071,Very Low,0.345803203,0.299756988,Very Low,0.308917653,0.278406038,Very Low,0.284095207,0.25164569,Very Low,0.345267191,0.305511089,Low
1002,30.13390128,77.29086085,Yamunanagar,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.398394591,0.39766643,Low,0.336693666,0.3377798,Low,0.401388478,0.402077943,Moderate,0.312634603,0.312103456,Low,0.401388478,0.373893611,Low
